route_id,direction_id,trip_headsign,wheelchair_accessible,block_id,shape_id,stop_id,stop_sequence,stop_headsign,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,trip_direction,neighborhood_name
107,0,Areias,1,,107_0_1_shp,AANT5,1,,AANT5,ALAMEDA DAS ANTAS,41.163200050617,-8.58340391200963,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=AANT5,OUTBOUND_CITY_CENTER,Campanhã
107,0,Areias,1,,107_0_1_shp,EDRG1,2,,EDRG1,ESTÁDIO DO DRAGÃO,41.1602777640038,-8.58380550692549,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=EDRG1,OUTBOUND_CITY_CENTER,Campanhã
107,0,Areias,1,,107_0_1_shp,CRJ1,3,,CRJ1,CORUJEIRA,41.1592845259,-8.58092164342542,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CRJ1,OUTBOUND_CITY_CENTER,Campanhã
107,0,Areias,1,,107_0_1_shp,PCRJ1,4,,PCRJ1,PR. DA CORUJEIRA,41.1569193474662,-8.5798649539462,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PCRJ1,OUTBOUND_CITY_CENTER,Campanhã
107,0,Areias,1,,107_0_1_shp,JFC,5,,JFC,JUNTA FREG. CAMPANHÃ,41.1581669000234,-8.57858673553547,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=JFC,OUTBOUND_CITY_CENTER,Campanhã
107,0,Areias,1,,107_0_1_shp,FSTO1,6,,FSTO1,FERR. DOS SANTOS,41.1597222011059,-8.57747222902949,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=FSTO1,OUTBOUND_CITY_CENTER,Campanhã
107,0,Areias,1,,107_0_1_shp,BFAL1,7,,BFAL1,BR. FALCÃO,41.1586217774712,-8.57535205251054,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BFAL1,OUTBOUND_CITY_CENTER,Campanhã
107,0,Areias,1,,107_0_1_shp,MCAM3,8,,MCAM3,MONTE CAMPANHÃ,41.1568580729901,-8.57475353228406,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MCAM3,OUTBOUND_CITY_CENTER,Campanhã
107,0,Areias,1,,107_0_1_shp,ICAM1,9,,ICAM1,IGREJA CAMPANHÃ,41.1548613734712,-8.57416825128125,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=ICAM1,OUTBOUND_CITY_CENTER,Campanhã
107,0,Areias,1,,107_0_1_shp,QBNJ2,10,,QBNJ2,QUINTA DE BONJÓIA,41.1528339625569,-8.57688271098788,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=QBNJ2,OUTBOUND_CITY_CENTER,Campanhã
107,0,Areias,1,,107_0_1_shp,TBNJ2,11,,TBNJ2,TRAVESSA DE BONJÓIA,41.1526695827903,-8.57980028569838,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=TBNJ2,OUTBOUND_CITY_CENTER,Campanhã
107,0,Areias,1,,107_0_1_shp,PINC2,12,,PINC2,PINHEIRO DE CAMPANHÃ,41.1516350447375,-8.58186607499824,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PINC2,OUTBOUND_CITY_CENTER,Campanhã
