Unnamed: 0 ;acctsessionid                                                    ;acctstarttime       ;upload ;download ;acctsessiontime ;calledstation_ssid ;calledstationid_hashed                                                                               ;callingstationid_hashed
0;fbfe95a31b975faa4b79968f95d834f2204ff050c4cb174fc2222ce906378b2a ;2024-09-18 14:00:00 ;0~1;0;            0.0 ;eduroam            ;$argon2id$v=19$m=102400,t=3,p=2$t3SLWvkKnrmXsiui8ygw8w$h6F5+c4Bau8V+2fzFQ5NfMMGK91eKqnKx/OLTwI7LzY ;$argon2id$v=19$m=102400,t=3,p=2$CKDJTgHHSrJ4AN0vesL1Og$rXHkarSCCAW0d6k6WsmmuJry6F4Ugxcl/Z1p1YNKu9g
1042;1bc12169a4412a103418ffe48daa6c81cb463d4b0b4b7f844fdcb2aeef8993db ;2024-09-12 09:00:00 ;0~1;0;            0.0 ;eduroam            ;$argon2id$v=19$m=102400,t=3,p=2$ELmr+aIlrdaJS5z1pVahsg$hJvWr8FEtlJuoKzOizQYdQr4+J8EUF8HQQSAHhj5GAk ;$argon2id$v=19$m=102400,t=3,p=2$EQA/9c9jf6mJIyIQia7Trg$rlvy1uCLLfgLFQzRq53bO8a3tGmFJqdJcnKfE0q/60A
638;142c341d23fdcb42045d8053cd15e4745a37e713058b4b65ebd649ad0cf1769d ;2024-09-12 03:00:00 ;0~1;0;            0.0 ;Porto. Free Wi-Fi  ;$argon2id$v=19$m=102400,t=3,p=2$8CDHqrqhjFOWJjP3UItNOg$nSkof4Xa9Pr6Rle3//tdLjZbqoWjVop0xC3TKT8rcdc ;$argon2id$v=19$m=102400,t=3,p=2$8My2GYbOpnZJopBY8dxt6A$o13O4Rf979AcOlr5Vh8r7DG8EGbUnnMgEMoUYvEZzXM
957;26170a06a6a738b5f06c8f4c3b75b6aad40fec0aa28be57162d46db00329e104 ;2024-09-12 08:00:00 ;0~1;0;            0.0 ;Porto. Free Wi-Fi  ;$argon2id$v=19$m=102400,t=3,p=2$6U3eokWluaOjrrqkYstxog$8RuBw6vpN7cotmrzCD/lq4zj7vPW/0VAMsZN7eAncm8 ;$argon2id$v=19$m=102400,t=3,p=2$tzL1bVe2Cm+O+pcmnOhsZA$YqBvjBwZcFel6zI1DbVlAXq4GvVQnP71Kf4zyrqMcXQ
436;1025e4a3e147acab06b137b80f4df8cb3f2ac719dccbf3ff99e1aa77871383fd ;2024-09-12 03:00:00 ;0~1;0;            0.0 ;Porto. Free Wi-Fi  ;$argon2id$v=19$m=102400,t=3,p=2$8wwqgPInZZIsm89CZt+KCQ$oydpNKlBpMBrSe4ty7lF67He/l/zJTZiYPkLTxkZtms ;$argon2id$v=19$m=102400,t=3,p=2$5+S6qyiPt7BTGuAKmy5sBw$kpV6c9OEaJQfahuBW+yNW5BEqo/mrr0OHBIWh+Tv4zI
1023;4b6f9569b3fb0fa51a3bc3f9de1f5ca623f83d9feb3cab349e98f6981007a902 ;2024-09-12 07:00:00 ;0~1;0;            0.0 ;Porto. Free Wi-Fi  ;$argon2id$v=19$m=102400,t=3,p=2$C3jDbnqQSwCC0RSKkjhQZw$JxbcI1ahIfGQCI4a+6cgray3oeKaWo0h6v3PteG4xKw ;$argon2id$v=19$m=102400,t=3,p=2$k6MGnH4whXbVaShIgwbnDA$Bqv+8w24s3TVgFtp7R0xVt0IigECAPf0CmB3bmU2Xfw
992;f9ed3b63db6a0736ceb9bbd35652bb710f68b47b4181d1834d0a5b8238bcce14 ;2024-09-18 15:00:00 ;0~1;0;            0.0 ;eduroam            ;$argon2id$v=19$m=102400,t=3,p=2$1BRR86wsvQsBcLikbrWBZw$t/sUPrC0kEvvaIsjV7m7eUi0OK5XgYJflPuVKljT+lQ ;$argon2id$v=19$m=102400,t=3,p=2$Mvb+khpyhIzvmUvbSER0gg$AvCpXV22blAgBmcAtFKBOlIBoz4wk03ZHtTSQgVPbO0
419;77cd50619cc6d06a8676caa11ad6113c104e858f0872052e110bc81b079ee020 ;2024-09-12 05:00:00 ;0~1;0;            0.0 ;eduroam            ;$argon2id$v=19$m=102400,t=3,p=2$RxbhRMEU0iRQW1TbRIih1A$vzw+3ERG2wj8FU+gJh6gasc3k9Y1LRSEEjLuaOlFrWY ;$argon2id$v=19$m=102400,t=3,p=2$okMPhmnJLUGp8yO+hvs4ng$FD/4ShVcDwrutWDJcRfYdJ3Hd+7SUrI9FMic/CwM9cM
994;35018b3dbf1ca5cdd4d0f2f5809f8e212e8fdf55a48cae2983afff3633e04831 ;2024-09-12 08:00:00 ;0~1;0;            0.0 ;Porto. Free Wi-Fi  ;$argon2id$v=19$m=102400,t=3,p=2$lmasfwkUHM42rq1rpzCLfw$2Q5EtoL+NndtzJUpeNPrci9Zh221ZDHz2DqX+i97ayI ;$argon2id$v=19$m=102400,t=3,p=2$qP/0ZWOluZKgjwIEgZ/P8g$Jyo1/+vJDTMvidGQLVUEXCcCVDbafW4uwSXzLzGxmV8
289;fd46631b416f04276a22540f3f77d915cff43e7b27895bf47269cf9787c25580 ;2024-09-12 02:00:00 ;0~1;0;            0.0 ;Porto. Free Wi-Fi  ;$argon2id$v=19$m=102400,t=3,p=2$VDUPalJre/ceOzgy3wb5nA$K8xNAb9B+1QJSVmsiIUf3dV9xQLUg0xoszLEqVyCY54 ;$argon2id$v=19$m=102400,t=3,p=2$CAkPjO3w+QavFt2Pysik/A$eclUzdzVdV/Puzj/wjQA2iUHLSfc9bJt62yrJHkCveM
